Character,Count
ተ,1502138
ነ,1462331
የ,1408562
መ,1382417
በ,1170744
ረ,1131021
ለ,967577
ወ,844325
ሰ,759615
ገ,736809
አ,698619
ደ,640813
ከ,598522
፠,575144
ሀ,497119
ቸ,408120
ቀ,386470
ጠ,375543
ፈ,277775
ዘ,261978
ጀ,182281
ዐ,121996
ሠ,113254
ኘ,106893
ሸ,91251
ጨ,83610
ጸ,80514
ፀ,58855
ሐ,55603
ፐ,51298
ቈ,38019
ኸ,33077
ኀ,25757
ቨ,23201
ጰ,19506
ዠ,15535
ኰ,12228
፨,10335
ቐ,9964
ጐ,9838
፰,8959
ኈ,6693
ቘ,5708
ዀ,2609
፸,1210
ዸ,968
